time,x,y,z
0.151,0.0314418,0.421884,0.16386
0.152,-0.113806,0.333176,0.0529908
0.153,-0.471361,0.0752796,-0.173637
0.154,-0.0403149,-0.656613,0.222292
0.155,0.0507056,-0.130265,0.248852
0.156,-0.0248204,0.507819,0.181395
0.157,-0.173605,0.317792,0.0245423
0.158,-0.476407,-0.334175,-0.295041
0.159,0.0552727,-0.352775,0.147591
0.16,0.0783504,0.103398,0.15196
0.161,-0.0967164,0.624495,0.233236
0.162,-0.16497,0.144916,-0.0502619
0.163,-0.343991,-0.767865,-0.146708
0.164,0.0857393,-0.282008,0.220127
0.165,0.0483056,0.148992,0.118384
0.166,-0.169103,0.665755,0.245269
0.167,-0.290152,0.0822506,-0.119412
0.168,-0.320916,-1.0355,0.109967
0.169,0.107893,-0.0721091,0.14176
0.17,0.0252497,0.275359,0.109744
0.171,-0.257098,0.708739,0.262588
0.172,-0.161591,-0.179927,-0.126452
0.173,-0.137846,-0.911129,0.409242
0.174,0.110584,0.0739788,0.14094
0.175,-0.00988447,0.318742,0.0981831
0.176,-0.314815,0.588092,0.161766
0.177,-0.219378,-0.453566,-0.151991
0.178,-0.0820338,-0.778073,0.549376
0.179,0.0888721,0.209006,0.123063
0.18,-0.0726949,0.458308,0.136317
0.181,-0.418366,0.560423,0.126519
0.182,-0.0829429,-0.449729,-0.027669
0.183,0.0393243,-0.391429,0.365578
0.184,0.0585751,0.342307,0.149435
0.185,-0.0829276,0.323576,0.0606779
0.186,-0.444807,0.248901,-0.080515
0.187,-0.0515717,-0.581525,0.0998499
0.188,0.0434497,-0.235543,0.311342
0.189,0.00972192,0.456159,0.167895
0.19,-0.191425,0.464966,0.103348
0.191,-0.509687,-0.0349227,-0.228985
0.192,0.0264856,-0.429171,0.136232
0.193,0.0699742,-0.0223387,0.19311
0.194,-0.0531446,0.565255,0.207457
0.195,-0.157809,0.221879,-0.0159014
0.196,-0.397713,-0.561345,-0.253728
0.197,0.0665905,-0.361973,0.207836
0.198,0.0551475,0.0789571,0.1403
0.199,-0.116893,0.60094,0.211068
0.2,-0.261399,0.191866,-0.063973
0.201,-0.383559,-0.899427,-0.105498
0.202,0.0994089,-0.169308,0.156602
0.203,0.0440115,0.225138,0.116086
0.204,-0.207646,0.706819,0.269194
0.205,-0.193809,-0.0647572,-0.126036
0.206,-0.192636,-0.948005,0.259974
0.207,0.11128,-0.0381639,0.171796
0.208,0.0135703,0.249173,0.0920248
0.209,-0.277578,0.665397,0.225621
0.21,-0.201393,-0.275415,-0.155007
0.211,-0.129911,-0.905111,0.491131
0.212,0.101489,0.12617,0.121766
0.213,-0.0368274,0.414901,0.128024
0.214,-0.380341,0.670364,0.21568
0.215,-0.113984,-0.387387,-0.0786362
0.216,-0.0103145,-0.584062,0.451816
0.217,0.0820329,0.267049,0.136908
0.218,-0.0653887,0.358028,0.0854994
0.219,-0.40349,0.385726,0.00868586
0.22,-0.133618,-0.671015,0.0343653
0.221,0.0244085,-0.375868,0.389002
0.222,0.0407703,0.370319,0.141912
0.223,-0.135291,0.429892,0.0981379
0.224,-0.489266,0.199792,-0.116248
0.225,-0.01319,-0.501724,0.107841
0.226,0.07696,-0.100087,0.229316
0.227,-0.0117135,0.502225,0.185494
0.228,-0.143484,0.29113,0.021323
0.229,-0.462797,-0.254835,-0.27733
0.23,0.015881,-0.545322,0.27209
0.231,0.0567272,-0.00576349,0.178214
0.232,-0.0762609,0.578446,0.207524
0.233,-0.204533,0.236835,-0.0252768
0.234,-0.427286,-0.681634,-0.246192
0.235,0.0834797,-0.245645,0.149774
0.236,0.0631504,0.198512,0.130908
0.237,-0.154497,0.667227,0.249702
0.238,-0.173309,0.0293662,-0.0926613
0.239,-0.264474,-0.933877,0.0810577
0.24,0.106658,-0.131311,0.182177
0.241,0.0304038,0.218551,0.101688
0.242,-0.232081,0.681332,0.245209
0.243,-0.254043,-0.14079,-0.169579
0.244,-0.215015,-1.03243,0.384417
0.245,0.109169,0.042122,0.129944
0.246,-0.00343209,0.334773,0.109152
0.247,-0.325666,0.701303,0.24707
0.248,-0.163858,-0.333886,-0.127658
0.249,-0.0375098,-0.692477,0.436373
0.25,0.0987823,0.186014,0.138838
0.251,-0.0377655,0.330661,0.0862464
0.252,-0.39111,0.56355,0.132471
0.253,-0.19063,-0.626786,-0.0668849
0.254,-0.0212726,-0.558296,0.49275
0.255,0.0659753,0.311981,0.136147
0.256,-0.095944,0.405407,0.097779
0.257,-0.468253,0.393367,0.00285812
0.258,-0.0512821,-0.524476,0.0549957
0.259,0.06956,-0.208118,0.278693
0.26,0.0211204,0.444463,0.169518
0.261,-0.116677,0.311976,0.0413485
0.262,-0.435608,-0.063856,-0.218178
0.263,-0.0163217,-0.599877,0.215395
0.264,0.0540206,-0.0984856,0.230031
0.265,-0.0336414,0.509032,0.178474
0.266,-0.201891,0.344607,0.0302151
0.267,-0.474037,-0.407714,-0.300678
0.268,0.0606019,-0.356719,0.169723
0.269,0.0745966,0.120222,0.14626
0.27,-0.107003,0.62765,0.232751
0.271,-0.167499,0.121361,-0.0600646
0.272,-0.332018,-0.818211,-0.106307
0.273,0.0935381,-0.235191,0.197561
0.274,0.0432881,0.155017,0.112212
0.275,-0.180794,0.660453,0.238934
0.276,-0.22387,-0.0113905,-0.126141
0.277,-0.275088,-1.02458,0.183793
0.278,0.107491,-0.0425446,0.132026
0.279,0.018544,0.306313,0.113995
0.28,-0.277793,0.723636,0.271368
0.281,-0.16756,-0.215499,-0.132422
0.282,-0.125735,-0.893554,0.439887
0.283,0.10912,0.0963288,0.14473
0.284,-0.0145564,0.309275,0.0911032
0.285,-0.348383,0.641899,0.197366
0.286,-0.23195,-0.50931,-0.149432
0.287,-0.0680115,-0.732486,0.546639
0.288,0.085816,0.23613,0.128525
0.289,-0.065492,0.392578,0.103181
0.29,-0.428787,0.522595,0.0974707
0.291,-0.0715266,-0.456795,-0.0111611
0.292,0.0367211,-0.371709,0.368928
0.293,0.0502273,0.371375,0.150616
0.294,-0.101261,0.35619,0.0695292
0.295,-0.428624,0.143329,-0.131773
0.296,-0.0718892,-0.687651,0.171764
0.297,0.0443132,-0.204635,0.294077
0.298,-0.000120906,0.456615,0.162844
0.299,-0.189085,0.424875,0.0795535
0.3,-0.502288,-0.118931,-0.256156
0.301,0.0350314,-0.407598,0.139236
0.302,0.0758206,0.0194881,0.177012
0.303,-0.0645138,0.582352,0.214027
0.304,-0.176077,0.228609,-0.0194709
0.305,-0.361584,-0.630719,-0.214754
0.306,0.0688463,-0.362581,0.236059
0.307,0.0531197,0.0980249,0.132615
0.308,-0.129087,0.608134,0.212919
0.309,-0.240637,0.127655,-0.0848693
0.31,-0.358048,-0.948124,-0.0382777
0.311,0.103493,-0.145792,0.160518
0.312,0.0397783,0.290234,0.125372
0.313,-0.226172,0.717652,0.274493
0.314,-0.169962,-0.105343,-0.121842
0.315,-0.171243,-0.937915,0.311946
0.316,0.112311,-0.0011379,0.161602
0.317,0.00666946,0.277532,0.0948733
0.318,-0.300612,0.681128,0.234436
0.319,-0.261847,-0.356086,-0.190949
0.32,-0.1254,-0.893138,0.535839
0.321,0.0982265,0.152846,0.121703
0.322,-0.0485488,0.434334,0.132921
0.323,-0.38621,0.622036,0.177166
0.324,-0.103727,-0.409906,-0.0631684
0.325,0.00207899,-0.532135,0.43802
0.326,0.0749445,0.295046,0.139819
0.327,-0.0762167,0.367121,0.0853258
0.328,-0.404438,0.312183,-0.0363176
0.329,-0.104709,-0.653206,0.0660725
0.33,0.022653,-0.343271,0.379613
0.331,0.0308811,0.402308,0.151302
0.332,-0.13472,0.39217,0.0769087
0.333,-0.493569,0.121409,-0.157251
0.334,-0.00107037,-0.48975,0.124066
0.335,0.0804462,-0.0584774,0.210259
0.336,-0.0244866,0.521694,0.191503
0.337,-0.139473,0.250417,0.00366886
0.338,-0.435065,-0.376796,-0.2814
0.339,0.0478618,-0.421186,0.200113
0.34,0.0620525,0.0396287,0.161023
0.341,-0.0892932,0.583608,0.206987
0.342,-0.242151,0.254666,-0.028274
0.343,-0.432502,-0.757108,-0.22468
0.344,0.089087,-0.219186,0.150181
0.345,0.0589653,0.228199,0.129253
0.346,-0.175678,0.694788,0.265844
0.347,-0.180812,0.000717793,-0.10404
0.348,-0.247837,-0.956428,0.139945
0.349,0.109756,-0.0909339,0.165686
0.35,0.025735,0.245905,0.10258
0.351,-0.239235,0.649256,0.219636
0.352,-0.281271,-0.18453,-0.189677
0.353,-0.195003,-1.01476,0.436293
0.354,0.106155,0.0696427,0.123326
0.355,-0.0134914,0.362187,0.114781
0.356,-0.346143,0.698962,0.24262
0.357,-0.139895,-0.347871,-0.107861
0.358,-0.0459927,-0.701937,0.479452
0.359,0.0941287,0.212677,0.13613
0.36,-0.045091,0.335813,0.0846634
0.361,-0.403569,0.534808,0.109765
0.362,-0.177634,-0.654381,-0.0365183
0.363,-0.00908051,-0.505751,0.468294
0.364,0.0584668,0.331119,0.137583
0.365,-0.105049,0.406048,0.0947895
0.366,-0.477952,0.344628,-0.0298851
0.367,-0.0414686,-0.528386,0.0745855
0.368,0.0733107,-0.17157,0.261598
0.369,0.0113418,0.463303,0.174536
0.37,-0.121295,0.298694,0.0331305
0.371,-0.417921,-0.155606,-0.23916
0.372,0.00735422,-0.531856,0.197087
0.373,0.0573878,-0.062534,0.209859
0.374,-0.0469889,0.536989,0.190642
0.375,-0.196948,0.301195,0.008719
0.376,-0.479633,-0.478612,-0.304822
0.377,0.0690763,-0.306454,0.150407
0.378,0.0733815,0.151644,0.140755
0.379,-0.124439,0.654563,0.247233
0.38,-0.184273,0.109975,-0.0709028
0.381,-0.348582,-0.878026,-0.0833415
0.382,0.0911639,-0.238243,0.233634
0.383,0.0394462,0.174223,0.107409
0.384,-0.193172,0.652594,0.230641
0.385,-0.252787,-0.0390143,-0.145787
0.386,-0.259675,-1.04203,0.251412
0.387,0.111265,-0.0215465,0.14276
0.388,0.0086472,0.364436,0.129274
0.389,-0.296507,0.728382,0.27265
0.39,-0.166272,-0.254173,-0.132693
0.391,-0.116379,-0.877381,0.47742
0.392,0.104479,0.11816,0.150067
0.393,-0.0212455,0.309042,0.0865804
0.394,-0.342707,0.558642,0.135974
0.395,-0.220903,-0.552841,-0.127503
0.396,-0.0511997,-0.675325,0.533744
0.397,0.0796247,0.259427,0.129171
0.398,-0.0744797,0.395845,0.101076
0.399,-0.440202,0.481473,0.0666602
0.4,-0.0610683,-0.465611,0.00623823
0.401,0.0476329,-0.319038,0.340486
0.402,0.0415341,0.395829,0.156371
0.403,-0.106626,0.34425,0.0613364
0.404,-0.460079,0.136834,-0.14225
0.405,-0.0430187,-0.629639,0.172554
0.406,0.0468261,-0.171657,0.27413
0.407,-0.0112016,0.483104,0.172712
0.408,-0.175738,0.360891,0.0468007
0.409,-0.505346,-0.198338,-0.279699
0.41,0.0433277,-0.399802,0.155816
0.411,0.0703837,0.0343519,0.168668
0.412,-0.0792582,0.602025,0.222996
0.413,-0.181474,0.204509,-0.0320704
0.414,-0.344905,-0.696894,-0.179726
0.415,0.0782178,-0.320011,0.22501
0.416,0.0523097,0.128977,0.125254
0.417,-0.152595,0.657234,0.242515
0.418,-0.284393,0.128867,-0.0987418
0.419,-0.344008,-0.998541,0.0293035
0.42,0.10409,-0.100043,0.137608
0.421,0.0323871,0.272838,0.115058
0.422,-0.243304,0.720658,0.274089
0.423,-0.175555,-0.142669,-0.130389
0.424,-0.166437,-0.949046,0.365005
0.425,0.112307,0.0373748,0.147282
0.426,0.000132038,0.28555,0.0924726
0.427,-0.312703,0.659025,0.215514
0.428,-0.224063,-0.389631,-0.16461
0.429,-0.104263,-0.841818,0.544256
0.43,0.0944646,0.17659,0.12162
0.431,-0.0548858,0.426312,0.125796
0.432,-0.411986,0.627776,0.178469
0.433,-0.0989011,-0.43791,-0.0495563
0.434,0.0263214,-0.454286,0.391311
0.435,0.068449,0.310058,0.145954
0.436,-0.0732128,0.326052,0.0661921
0.437,-0.433676,0.31838,-0.0382418
0.438,-0.0652097,-0.571253,0.0660496
0.439,0.039985,-0.281374,0.33608
0.44,0.0219942,0.41276,0.151121
0.441,-0.152655,0.409092,0.080775
0.442,-0.500021,0.0528952,-0.190477
0.443,0.00948436,-0.476436,0.137131
0.444,0.0825645,-0.022839,0.195219
0.445,-0.0380216,0.548921,0.202408
0.446,-0.14627,0.237583,-0.00465757
0.447,-0.396335,-0.474674,-0.262397
0.448,0.0396167,-0.474974,0.276392
0.449,0.0560362,0.0475719,0.152639
0.45,-0.10206,0.595489,0.211353
0.451,-0.251157,0.229518,-0.0432167
0.452,-0.417233,-0.824423,-0.182462
0.453,0.0942306,-0.200674,0.156921
0.454,0.0489606,0.194727,0.118183
0.455,-0.186847,0.689474,0.259724
0.456,-0.176042,-0.0326774,-0.110275
0.457,-0.201017,-0.9274,0.199999
0.458,0.111263,-0.0646286,0.168373
0.459,0.0195274,0.244448,0.0963471
0.46,-0.257438,0.658287,0.223381
0.461,-0.220578,-0.233602,-0.16448
0.462,-0.175447,-0.989366,0.479258
0.463,0.106497,0.0973867,0.128121
0.464,-0.018895,0.351341,0.106647
0.465,-0.353996,0.663852,0.213753
0.466,-0.123737,-0.364471,-0.0919402
0.467,-0.0163636,-0.616811,0.44693
0.468,0.08858,0.238749,0.141072
