time,x,y,z
0.152,0.107079,-0.0470427,0.17431
0.153,0.049235,0.19555,0.107231
0.154,-0.103917,0.626237,0.238381
0.155,-0.114542,0.204822,-0.0105207
0.156,-0.18524,-0.140598,-0.138562
0.157,-0.205551,-0.843756,0.120772
0.158,0.0723614,-0.261487,0.134624
0.159,0.0482348,-0.0661062,0.180414
0.16,0.0248701,0.20301,0.0825621
0.161,-0.175042,0.693511,0.270596
0.162,-0.291845,0.36042,0.00493553
0.163,-0.323186,-0.369368,-0.226108
0.164,-0.120134,-0.8103,0.275488
0.165,0.0147365,-0.402407,0.379621
0.166,0.092104,0.233312,0.137371
0.167,-0.0337709,0.549301,0.208933
0.168,-0.199969,0.578654,0.175818
0.169,-0.469966,0.521857,0.0741609
0.17,-0.124209,-0.382763,-0.0807718
0.171,-0.0174769,-0.610307,0.274964
0.172,0.0266488,-0.264856,0.306228
0.173,0.0679853,0.322137,0.142653
0.174,-0.0716182,0.545674,0.192746
0.175,-0.258735,0.578405,0.160871
0.176,-0.215566,-0.0654584,-0.142624
0.177,-0.344928,-0.892903,-0.0301618
0.178,0.0599989,-0.289579,0.122142
0.179,0.0867242,-0.0152013,0.175316
0.18,0.0326737,0.371464,0.138641
0.181,-0.0645828,0.359227,0.0847026
0.182,-0.386975,0.675664,0.212284
0.183,-0.281253,-0.29988,-0.203211
0.184,-0.213156,-0.954321,0.273997
0.185,0.0531542,-0.353309,0.308303
0.186,0.0894727,0.133483,0.141003
0.187,-0.00538361,0.494105,0.187597
0.188,-0.143129,0.500456,0.137921
0.189,-0.447264,0.586804,0.128824
0.19,-0.108481,-0.285543,-0.0858458
0.191,-0.00462583,-0.512224,0.159044
0.192,0.0252822,-0.311725,0.332916
0.193,0.0749163,0.241595,0.135053
0.194,-0.0394403,0.470846,0.158644
0.195,-0.283064,0.749705,0.294499
0.196,-0.464579,0.340669,-0.0510289
0.197,-0.0865123,-0.395323,-0.0403258
0.198,-0.0182598,-0.624152,0.377605
0.199,0.112587,0.00651269,0.144397
0.2,0.0484466,0.272948,0.122041
0.201,-0.0897721,0.526435,0.173331
0.202,-0.310172,0.586749,0.155489
0.203,-0.28602,-0.181042,-0.19766
0.204,-0.169193,-0.803041,0.138882
0.205,0.0145176,-0.481747,0.384729
0.206,0.104668,0.137473,0.14122
0.207,0.0088141,0.417535,0.153261
0.208,-0.0646171,0.288499,0.049852
0.209,-0.380275,0.50972,0.0827847
0.21,-0.47667,-0.337889,-0.304812
0.211,-0.000586321,-0.411926,0.0807627
0.212,0.0724546,-0.249622,0.264358
0.213,0.0889997,0.246228,0.139697
0.214,-0.0280556,0.490561,0.175487
0.215,-0.216199,0.627147,0.208203
0.216,-0.187315,0.0481086,-0.0999242
0.217,-0.350859,-0.691908,-0.167287
0.218,-0.0434099,-0.690048,0.381506
0.219,0.0869122,-0.112916,0.210759
0.22,0.0609771,0.321509,0.135602
0.221,-0.0320012,0.318965,0.0816006
0.222,-0.219049,0.441881,0.076472
0.223,-0.513059,0.203815,-0.143212
0.224,-0.226496,-0.829071,0.0690606
0.225,0.065402,-0.3397,0.186759
0.226,0.0499058,-0.0852349,0.193605
0.227,0.0261556,0.397784,0.153391
0.228,-0.0508463,0.277456,0.0520109
0.229,-0.192868,0.2327,-0.0309115
0.23,-0.480421,-0.224292,-0.291785
0.231,-0.0497397,-0.606899,0.155885
0.232,0.0956241,-0.178525,0.152045
0.233,0.0635233,0.0734154,0.131094
0.234,-0.0355383,0.556141,0.212989
0.235,-0.234672,0.691557,0.255148
0.236,-0.273442,0.123369,-0.10895
0.237,-0.396466,-0.683079,-0.207686
0.238,-0.0600914,-0.729569,0.39445
0.239,0.101055,-0.0915473,0.191922
0.24,0.0653273,0.289115,0.138293
0.241,-0.0209471,0.275047,0.0687622
0.242,-0.265525,0.581887,0.161825
0.243,-0.401298,0.0713229,-0.174799
0.244,-0.176365,-0.695396,0.0190147
0.245,-0.0868076,-0.74919,0.554742
0.246,0.0933605,0.00833618,0.168367
0.247,0.0339959,0.377395,0.148906
0.248,-0.0853395,0.441042,0.121381
0.249,-0.267099,0.413856,0.0448722
0.25,-0.300376,-0.244832,-0.211663
0.251,-0.17272,-0.859259,0.211043
0.252,0.0444775,-0.390235,0.325263
0.253,0.096875,0.153825,0.116733
0.254,0.00592667,0.364218,0.12578
0.255,-0.199464,0.667955,0.244142
0.256,-0.39142,0.44936,0.0374208
0.257,-0.341631,-0.503237,-0.221438
0.258,-0.0901871,-0.777259,0.325333
0.259,0.0759751,-0.226906,0.254815
0.26,0.0856051,0.260511,0.136473
0.261,-0.0205336,0.382304,0.119094
0.262,-0.126484,0.339768,0.0480403
0.263,-0.472821,0.382614,-0.0256253
0.264,-0.327838,-0.747595,-0.117393
0.265,0.0192825,-0.515612,0.266623
0.266,0.0495429,-0.161138,0.240494
0.267,0.0497184,0.285062,0.12637
0.268,-0.115622,0.643431,0.247404
0.269,-0.302185,0.575123,0.148404
0.27,-0.232474,-0.179866,-0.169333
0.271,-0.0931287,-0.606582,0.070505
0.272,0.0731193,-0.321934,0.208118
0.273,0.108056,0.119341,0.137883
0.274,0.0145418,0.458111,0.174976
0.275,-0.151908,0.604204,0.207847
0.276,-0.340323,0.466177,0.0607514
0.277,-0.356969,-0.359525,-0.245617
0.278,-0.0139089,-0.411093,0.0581986
0.279,0.0672473,-0.297999,0.278262
0.28,0.0585716,0.043223,0.135117
0.281,-0.0158194,0.467996,0.167897
0.282,-0.116304,0.377394,0.0724751
0.283,-0.466942,0.542049,0.0901794
0.284,-0.431654,-0.572057,-0.265614
0.285,0.0181792,-0.431761,0.134182
0.286,0.0737468,-0.182814,0.244205
0.287,0.0675288,0.271329,0.120295
0.288,-0.0726303,0.60085,0.230174
0.289,-0.101512,0.236219,0.00872722
0.29,-0.179428,-0.0492485,-0.120797
0.291,-0.231021,-0.742723,-0.0151954
