time,x,y,z
0.149,0.0337266,-0.176468,0.345899
0.15,-0.464213,-1.51144,0.664379
0.151,-0.166441,-0.977197,0.339121
0.152,-0.25355,0.889556,0.413407
0.153,-0.0643802,-0.151084,-0.020852
0.154,-0.443385,0.391983,0.00471149
0.155,-0.285204,-0.264717,-0.20737
0.156,-0.776747,-0.285244,-0.397282
0.157,-0.280858,0.831464,0.359911
0.158,-0.042647,0.317689,0.072238
0.159,0.0804477,-0.225111,0.319792
0.16,-0.0765726,0.285865,0.0434534
0.161,0.117549,-0.0202959,0.197394
0.162,-0.0273706,-0.116894,-0.0255332
0.163,-0.0629582,0.391597,0.10399
0.164,-0.0460797,0.599865,0.230771
0.165,0.0483285,-0.468639,0.254342
0.166,0.0764532,0.160729,0.0931538
0.167,-0.216395,-1.09873,0.894362
0.168,-0.824155,-0.327108,-0.42287
0.169,-0.0381766,0.24859,0.044792
0.17,0.0496149,-0.068065,0.0408933
0.171,-0.761151,0.106399,-0.220902
0.172,0.0926631,-0.126105,0.110452
0.173,-0.037005,-0.0694186,-0.032634
0.174,-0.129532,0.437977,0.10335
0.175,-0.0455046,0.0100748,-0.0231977
0.176,0.0516007,0.313743,0.12091
0.177,0.000952788,0.146501,0.0851629
0.178,-0.128189,-0.692196,0.042398
0.179,-0.0243172,0.0643181,0.0650445
0.18,0.044457,0.367651,0.139348
0.181,-0.074115,0.251339,0.0294904
0.182,-0.126374,0.588389,0.199829
0.183,0.0946012,0.228866,0.159149
0.184,0.0611351,-0.0375734,0.0539059
0.185,-0.127408,-0.317553,-0.105612
0.186,-0.377252,0.928521,0.438569
0.187,-0.181696,0.104343,-0.0728073
0.188,-0.171462,0.616412,0.208004
0.189,-0.0129022,0.47057,0.162261
0.19,-0.116237,-0.85416,0.772047
0.191,-0.155359,-0.499243,-0.0939153
0.192,-0.0604889,-0.0595412,0.170737
0.193,-0.177644,0.638424,0.222493
0.194,0.0408218,0.441371,0.173744
0.195,0.0946458,-0.263332,0.200835
0.196,0.0679361,-0.0690107,0.0624651
0.197,-0.153102,-0.74736,0.898927
0.198,0.0702908,-0.15821,0.0787797
0.199,0.08316,0.247434,0.122777
0.2,0.106456,-0.194847,0.23588
0.201,-0.204226,-0.457188,0.764811
0.202,-0.0483686,0.602285,0.231603
0.203,-0.240927,0.421882,0.0642006
0.204,0.00504307,0.206967,0.0526051
0.205,-0.066142,0.476498,0.145806
0.206,0.0440166,0.279076,0.102625
0.207,0.0197692,0.480697,0.187937
0.208,0.0562315,-0.142388,0.311132
0.209,-0.552027,-1.58549,0.539189
0.21,-0.29788,-0.329466,-0.219036
0.211,-0.633885,0.820953,0.327232
0.212,-0.468309,0.823934,0.337538
0.213,0.0468232,0.334281,0.126188
0.214,-0.461404,0.60902,0.157897
0.215,0.01691,0.357273,0.134648
